,Bert_Rescale
,1-2
paper_id,
SP:0007ee9ce7dfaf12a7dff4aa2979403aed9397d7,0.10593163967132568
SP:001a31f7a439ab22943dedb4fa4d46e3dd56e603,0.1692228466272354
SP:001e57e71bafdb52d6511bdd6aa73b78d60248f2,0.17328527569770813
SP:004f41dfc870c5a9b347d118d7e41d7c3db77b91,0.1764322966337204
SP:00578dd55a640c10dbf22f647b736e49f6ee3c32,0.09745857864618301
SP:006c2334ad366e0c4558bcfccdd89f993fb8bba7,0.12579241394996643
SP:00a3a2ca6324e5f2db45bbad11bf97491037c26c,0.15320907533168793
SP:00af76b0f241598c5d3c11fc330d6426a1dcd473,0.2668890953063965
SP:00b48a43a5037915e21ddb2f0941cdd26a69d44d,0.03711661696434021
SP:00e138bcd2ec3bc1fd4566af8434acf78e6f16be,0.11705129593610764
SP:00f68b4f5ceeddc2e6b93cfdf1a75599bffd2acb,0.1301737278699875
SP:00fed729e27d8c9d2a3d96fdb7e54c3e5cc0a94d,0.11886760592460632
SP:0119dbfec5c29bceae3332c902780f1e8319504a,0.23982840776443481
SP:012aea2b0a756ae1714eb20ac4fdb723a644ee8f,0.2075345665216446
SP:0134f562a484fc11e69847eb132d866e55fad86f,0.18953566253185272
SP:0147099ac2866672f507e5e37383fa4f50addd0e,0.1957544982433319
SP:014ffcb32f734eb84c89fb83ed2b62098fde89f9,0.19564007222652435
SP:0152425d154c3a8120602f5d9e2eaf4e3d664632,-0.1460391879081726
SP:01813ebeda8ca73bca2bb3f50a3afefd1a04643b,0.2878672480583191
SP:01d9dfdff7250ca7703a05aa98105d0307f3d899,0.1751372516155243
SP:0228dd243b9ca1b38e728d54f5d000858f959ea4,0.10674849897623062
SP:023f656e324a7c753e79703a9e9ff7638990a11c,0.07935690879821777
SP:0241b8a73225e20c6d486355f34f267d87ef1f44,-0.014648452401161194
SP:0249d3ffcb3333fe857d83bae77e709a2f997956,0.060435548424720764
SP:027dfebf9732ce68cb3985ef873b00d65e6e7205,0.02787613309919834
SP:02802f3805d0c51d2a2d3105f7beeb620999bd66,0.2376423329114914
SP:02c82e31ddcff1990d5cb3f8ecbb44392cb02892,0.1975669264793396
SP:02f8d54dc4416c5994bcef9f276ed7881246bef7,0.13787831366062164
SP:030b2045318e6e4189685793b5eab37ffb8b1a82,-0.10110108554363251
SP:0337a1d600cc90bd0591d8792102a4486dc03d91,0.17044514417648315
SP:03577eb6fb5a3b9ac15af04673f905565c57d425,0.15723229944705963
SP:0365e3071ba7036ff25566c543c65cfc92531674,0.09131461381912231
SP:0370e68af5e82fcbde2ca16e57721e455620a1fe,0.1684805005788803
SP:03927e9924258d065475e45ebeedc315e8f7e325,0.15692433714866638
SP:03a357be8e34c07221c6f2829928bf733428f0e3,0.09678191691637039
SP:03a7c25f464f8e293bf300d897342f5f82a51f28,0.32847416400909424
SP:03b7bce7c88de2434b54fc0483d8905aa04203e9,-0.05021539330482483
SP:0423364bd06f7fe3ef17328f83a5eb99db6459af,0.040778905153274536
SP:043898419d6f33939bdbe62f59f05e2c78d4b61c,0.11990519613027573
SP:044d99499c4a9cb383f5e39a28fc7ccb700040d1,0.025410356000065804
SP:044eb7985596e0b826f3628855c2fb2913907cc7,0.19507642090320587
SP:045b9cae56d226a23b9a080ecf5b548670a73328,0.15056177973747253
SP:048d4b0525787b7a697c5608f0dd20ef84ebe339,0.17517328262329102
SP:04982111c9f052a633c1cacb113263af408e6a24,0.04933849349617958
SP:051dd7bc82951cead504d0861e2048c99d20dbe8,0.26534682512283325
