,Bert_Rescale,Bert_Rescale,Bert_Rescale
,1-2,1-3,2-3
paper_id,,,
SP:001ae7379191bb40fc356a37deb2f0ffc4426e52,0.14021271467208862,0.3160916268825531,0.133600115776062
SP:0045d9a733e9d3db6e42c4fcadaa7dc57f7b5004,0.05067344382405281,0.07338352501392365,0.145687073469162
SP:0055dca69c153ed21b420741c479a2ef00be2ef6,0.123344287276268,0.2706488370895386,0.1067594513297081
SP:006a3aabe6e2d03798d9b441665ef1d1d30a7e1e,0.02668703719973564,0.09163140505552292,0.09370305389165878
SP:007cfdff69f09c5edd1df48ad280a2d05cc9862a,0.15682050585746765,0.14645980298519135,0.21476344764232635
SP:009020a033e3a639479bf9d7d46e51f84effa910,0.1819688230752945,0.05129854008555412,0.013990511186420918
SP:00f711d04ec9d71b8feaa87a66837b308920b4a1,0.3012467920780182,0.22106032073497772,0.2161114662885666
SP:010f97e62bdbae79a46f6c60c924c28b14f8c5e9,0.12809467315673828,0.1390681117773056,0.13092349469661713
SP:0117ddd034d838c0c7e226111c52c13712cb454d,0.21458721160888672,0.26564526557922363,0.1410461813211441
SP:011ca95086d170f4d2cb6093f5163c1cc6ba8727,0.10835962742567062,0.07539195567369461,0.14459121227264404
SP:017769783f4bdb1c409591da5299bf7d037f2bad,0.3185174763202667,0.3268602192401886,0.31921887397766113
SP:01927b25e3408a5e889122868c0eee692be69e02,0.06561890244483948,-0.03393391892313957,0.018650837242603302
SP:01d00582d40474de9db387743171338e67f6760f,0.254694402217865,0.28644859790802,0.4180537164211273
SP:01d7a9c28f3f5eca53566a8a2685b3e81936090c,0.008746055886149406,0.046663641929626465,0.12912271916866302
SP:01e4a78999ff4128733da6c9fb9e2492853a4ee1,0.19585020840168,0.26864996552467346,0.18598498404026031
SP:020ba990847a9c581cf910b5b07974ade1fae522,0.10841118544340134,0.0037488143425434828,0.11303655058145523
SP:02105a375c2a75e53b103af0a9f58dbd2df943e5,-0.040774669498205185,0.20337572693824768,-0.08113083988428116
SP:022d5186d69b73d9083ab192b5dd240a1cc61406,0.07447126507759094,0.21581198275089264,0.13951875269412994
SP:02483b54680d6c0a9d6d2b20d976f057767d8ae6,-0.043763477355241776,0.011383116245269775,0.07514721900224686
