,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale
,1-2,1-3,1-4,2-3,2-4,3-4
paper_id,,,,,,
SP:00130f3b3a6b3b71f9b487003a18b43517cacbbb,0.07449386268854141,0.04708390682935715,-0.0035732928663492203,0.15890134871006012,0.08604332059621811,0.13499793410301208
SP:00215e91570b72ae8202535812037e710e766253,0.08491390943527222,0.1664268672466278,0.14547447860240936,0.14148056507110596,0.1586170494556427,0.1959766447544098
SP:006a99a453b861691e5ea2c02012a2aef44d393e,0.14364227652549744,0.20326413214206696,0.11615072935819626,0.183003231883049,0.21040330827236176,0.2531238794326782
SP:006e9fb3f4bd9fce1b751e6491f93ca9a918b1d0,0.11336181312799454,0.1229596957564354,0.16681358218193054,0.2129284143447876,0.10209276527166367,0.08949194848537445
SP:008b937acb21afd5449982967b6daac37b4134ab,0.17967043817043304,0.22006087005138397,0.19436974823474884,0.21114176511764526,0.15093860030174255,0.21656987071037292
SP:012528acf4cee3e1b0a1a27a7fecb73bebb9e661,0.24625630676746368,0.21157756447792053,0.321521133184433,0.26595285534858704,0.26972711086273193,0.2544609606266022
SP:0156823b32dd1145169aa325fbb74ea7eb97c030,0.18118974566459656,0.1265096813440323,0.06975937634706497,0.1325586438179016,0.20195072889328003,0.05329779163002968
SP:019f47787a1734e4215fc3c90019676885bf24bc,0.21293406188488007,0.23725773394107819,0.18547607958316803,0.17004430294036865,0.22158582508563995,0.19023916125297546
SP:01e42205f6557cb74e8353f107f246663b193a8c,0.194574236869812,0.16016919910907745,0.3205757141113281,0.1218256950378418,0.19960254430770874,0.16352564096450806
SP:0239965b691a4526c814b4543649f0831254ed88,0.3206230401992798,0.3106652796268463,0.22468164563179016,0.34167784452438354,0.26154327392578125,0.19456999003887177
SP:023c978ab5d89b69f7efa9681a81f8ef415ced67,0.26555871963500977,0.0444231852889061,0.17154701054096222,0.020538486540317535,0.08723489195108414,0.08236514031887054
SP:02513468848dadcff46b177a6b8544e99095d418,-0.07359471917152405,-0.03546346351504326,-0.0311955027282238,0.07495509833097458,0.04424554482102394,0.2359471619129181
SP:0260319f71562dd708e6055c37d4b6969f2a3ad0,0.08853840827941895,0.1536625325679779,0.20202241837978363,0.03045245073735714,0.0930299237370491,0.18816186487674713
SP:0260593a94ae46e9825651c50d94f33bd37e6d53,0.19010426104068756,0.054078277200460434,0.14817793667316437,0.12789371609687805,0.21395717561244965,0.1218980923295021
SP:02706e1c3a8fcc422b3f3d2e46ca67a6ec3d018e,0.11525864154100418,0.0834108516573906,0.14074492454528809,-0.01741441711783409,0.10921816527843475,0.008153803646564484
SP:02832fd94d32158728931c320620c2684dc9a09d,0.16160868108272552,0.1220707893371582,0.10105588287115097,0.24714769423007965,0.283981055021286,0.17986150085926056
SP:02d9d7f58ec6076388353f4d6a60c7b8c8a79cb6,0.11838942766189575,-0.0076865702867507935,-0.06582268327474594,0.05015712231397629,0.14880408346652985,-0.14276254177093506
SP:0309aca15a888219390dcd26e0aa2413f8d42927,0.004312107805162668,0.046480000019073486,-0.010976980440318584,0.18804673850536346,0.008532392792403698,0.12869222462177277
SP:03835515e384595fed6194e175bfe4c8a958d76d,0.10588572919368744,0.1416204273700714,0.10804707556962967,0.16744433343410492,0.12873248755931854,0.16523565351963043
SP:038a7b8f17841622fff5e7b9e5314c39c07530ba,0.12520262598991394,0.167838454246521,0.20403049886226654,0.03188452124595642,0.15171343088150024,0.13012182712554932
SP:03ab8a4a0a94fc09228f65e36a5e2ec22fe04236,0.24036909639835358,0.23333410918712616,0.1709374487400055,0.14239631593227386,0.09105292707681656,0.11239167302846909
SP:03ad9079ac0ea868f961f995b0094270cdf2d162,0.03436336666345596,0.014966650865972042,0.015327582135796547,0.07487422227859497,0.10784082859754562,0.07817522436380386
SP:03b91432585ae8c66c1f494e9e0d73be7e159b6d,0.02661958336830139,0.13562797009944916,0.0716763362288475,0.0572885200381279,0.011811502277851105,0.09699875861406326
SP:040bd4d3243cd4957aee23cc70c1951c44c2b995,0.23224884271621704,0.2988184690475464,0.23447482287883759,0.12473928183317184,0.16937541961669922,0.15034493803977966
SP:041bcac0ae2b896a04f6d6c828cbfbbb8a0164b8,0.1999528855085373,0.2599264979362488,0.17046669125556946,0.17728765308856964,0.012884055264294147,0.13769502937793732
SP:0458a032f69e3f5b6b7cb0e791fc50c04bb294c4,0.19807688891887665,0.1173645481467247,0.048892803490161896,0.2002057582139969,0.1264192759990692,0.06669004261493683
SP:047c430d10180e9ce4cb5d8bb2c6f199a4a6f5ca,0.15182220935821533,0.1843530237674713,0.1527351289987564,0.24159103631973267,0.13564491271972656,0.20460544526576996
SP:04ba539f55ee6f32b40e6800dcd79a49dc289e98,0.1808231621980667,0.16028502583503723,0.18597367405891418,0.17134924232959747,0.1106470599770546,0.13049758970737457
SP:04d65c18e7c54d8cb64f2dd181a3c7033e1e4197,0.12990251183509827,0.22021131217479706,0.21207940578460693,0.2562567889690399,0.1670883446931839,0.2381325215101242
SP:053831a5cd063ed2709bc84c909e614bda71ad29,0.18004867434501648,0.30520540475845337,0.23051482439041138,0.19172033667564392,0.274923175573349,0.25047624111175537
SP:05655e56ebbbbf501d35d93fa16630daf6a308fd,0.11206323653459549,0.09098652750253677,0.15109682083129883,0.1434321403503418,0.1342647671699524,0.1235424131155014
SP:056e7e83a31fb1cb71fc53e1c6d7fb6ca203a87d,0.15330301225185394,0.22751788794994354,0.24978509545326233,0.13465924561023712,0.10305266082286835,0.16267628967761993
SP:0595d86b01ad6fe82e6afa8987a061e17980fa41,0.24103127419948578,0.2753709852695465,0.2046050876379013,0.35188138484954834,0.1920519471168518,0.1793013960123062
SP:06309da5b76c411a1c746affb2357894dafa9b59,0.07262811064720154,0.10986021161079407,0.18671955168247223,0.08071093261241913,0.061505276709795,0.09721630811691284
