,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale
,1-2,1-3,1-4,1-5,1-6,2-3,2-4,2-5,2-6,3-4,3-5,3-6,4-5,4-6,5-6
paper_id,,,,,,,,,,,,,,,
SP:0a1ecec6f5447992f3ad0011e1b7efa39da28442,0.22999143600463867,0.31160610914230347,0.17065881192684174,0.20308755338191986,1.0,0.3166676163673401,0.19177718460559845,0.16326642036437988,0.22999143600463867,0.21733799576759338,0.21100333333015442,0.31160610914230347,0.1712033897638321,0.17065881192684174,0.20308755338191986
SP:190e69f0d6538fa7e87d77df6cdf93c7a1d83f90,-0.015521821565926075,0.09990881383419037,0.02517550438642502,0.01033563818782568,0.11931577324867249,0.06020599231123924,0.11808393895626068,0.17425505816936493,0.14171577990055084,0.1771453320980072,0.16647914052009583,0.21025285124778748,0.17097170650959015,0.20355407893657684,0.23782527446746826
SP:38b5e8808025e698744d9544e91d334ee6566fa2,0.16832652688026428,0.21069996058940887,0.37990903854370117,0.09528733789920807,0.29024332761764526,0.17442068457603455,0.16411259770393372,0.15104560554027557,0.19155363738536835,0.2639112174510956,0.03617791086435318,0.42313605546951294,0.06134246662259102,0.2793557047843933,0.11552952229976654
SP:4f12fdfd15f31f1a0ff9b57a8de53319750c3eec,0.15695612132549286,0.0927339717745781,0.07227494567632675,0.05041634291410446,0.06975513696670532,0.19322903454303741,0.05675666034221649,0.06509234011173248,0.14956232905387878,0.060630492866039276,0.09206473082304001,0.09130225330591202,0.033171795308589935,-0.03414051979780197,0.13029557466506958
SP:57cdb30976e9fc5563bbb07a51d90eec8385e594,0.10278390347957611,-0.01080710906535387,0.060890067368745804,0.005380422342568636,-0.012243418954312801,0.03439338505268097,0.14463289082050323,0.08732176572084427,0.055427003651857376,0.015072599053382874,-0.0033402058761566877,0.0007667146273888648,0.10130203515291214,-0.0011068095918744802,-0.014664697460830212
SP:69cc1499e1ffdff113346180dd31c60fb1059872,0.3413236141204834,0.3005118668079376,0.24471016228199005,0.20574510097503662,0.22377543151378632,0.2602895498275757,0.3806093633174896,0.2723747491836548,0.2239004522562027,0.32465580105781555,0.18093864619731903,0.1698087453842163,0.24044962227344513,0.27816203236579895,0.23022699356079102
SP:797f40f8ab27a0ce589b18ec143e398b6b44a460,0.1752527356147766,0.3261376619338989,0.33556991815567017,0.1751425564289093,0.2363681197166443,0.15200090408325195,0.275692343711853,0.10733051598072052,0.19339749217033386,0.254463791847229,0.20332452654838562,0.2022509127855301,0.17985974252223969,0.2551708221435547,0.11491502076387405
SP:80c90830c0183d1bd699be9ec09c10cf58581311,0.35781311988830566,0.20271426439285278,0.2649272680282593,0.2536666989326477,0.23288841545581818,0.23017577826976776,0.1964081972837448,0.2118498533964157,0.26740115880966187,0.1090359315276146,0.14655126631259918,0.21605142951011658,0.19248740375041962,0.16469532251358032,0.24326996505260468
SP:8bcc40cf0cbc16b7c6d403becfe2b1325b2d00d4,0.2577376067638397,0.13802911341190338,0.3388172388076782,0.2472267895936966,0.18938133120536804,0.18339842557907104,0.42591580748558044,0.4056093394756317,0.16620613634586334,0.17693379521369934,0.2292858213186264,0.11954779922962189,0.2937357425689697,0.24545921385288239,0.13263139128684998
SP:aff00ec3fd79be87ff5d6acdcdb395ec03f80cac,0.07780228555202484,0.07383910566568375,0.11628670245409012,0.016138089820742607,-0.007935549132525921,0.2385248839855194,0.23550641536712646,0.10119573771953583,0.12804275751113892,0.2842780649662018,0.12099187821149826,0.10122928768396378,0.1459953933954239,0.13826961815357208,0.0991692915558815
SP:cf5222ed98e5d552771fb915beeee4d504b947fe,0.11697254329919815,0.059555113315582275,0.07236677408218384,0.17587147653102875,0.08019601553678513,0.10458608716726303,0.1434035301208496,0.24782505631446838,0.10154889523983002,0.08242306113243103,0.1431291252374649,0.08421888947486877,0.21739061176776886,0.18577943742275238,0.19212187826633453
SP:e1ef24ecb1d18bab9ab0d706efcdc61f8bd4b4b4,0.13998739421367645,0.038495711982250214,0.08770176768302917,0.10742763429880142,0.11554011702537537,0.09680663794279099,0.15991632640361786,0.12530504167079926,0.16398723423480988,0.3575623631477356,0.05769112706184387,0.12088557332754135,0.09681122750043869,0.07530295848846436,0.1642637550830841
SP:f2325f97eb57b82ce95c86638af9d733d325b45d,0.103322833776474,0.13780203461647034,0.1294797658920288,0.21521902084350586,0.15937741100788116,0.1843816190958023,0.3667459785938263,0.25463223457336426,0.29525789618492126,0.2345888912677765,0.3261948823928833,0.25151172280311584,0.28080084919929504,0.33143189549446106,0.37715789675712585
SP:f9ece9e53f7d9bac9c921f1e85c270b826993a5a,0.07819147408008575,0.08726844191551208,-0.01981203258037567,0.0704445093870163,-0.1049841046333313,0.20630133152008057,0.061314214020967484,0.09030774980783463,-0.06024236977100372,0.1571609526872635,0.11073005199432373,0.011370755732059479,0.010111380368471146,0.03614259511232376,-0.10019876062870026
SP:fef1b68e8fefbd9ab2610b3c995a74852ce53a6a,0.18643490970134735,0.16335365176200867,0.16148577630519867,0.1736370176076889,0.1939537227153778,0.1898658722639084,0.1319035291671753,0.17073439061641693,0.18746720254421234,0.14445100724697113,0.19202016294002533,0.20596475899219513,0.24280555546283722,0.05475105345249176,0.09664347767829895
