,paper_id,summary,summary,summary,summary,summary,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,fmeasure,fmeasure,fmeasure,fmeasure,fmeasure,fmeasure,fmeasure,fmeasure,fmeasure,fmeasure
,,0,1,2,3,4,0-1,0-2,0-3,0-4,1-2,1-3,1-4,2-3,2-4,3-4,0-1,0-2,0-3,0-4,1-2,1-3,1-4,2-3,2-4,3-4,0-1,0-2,0-3,0-4,1-2,1-3,1-4,2-3,2-4,3-4
0,SP:04abdf6d039513f23e00e6686832cd4b950f1d75,"This work proposes a specific parametrisation for the Gaussian prior and approximate posterior distribution in variational Bayesian neural networks in terms of inducing weights. The general idea is an instance of the sparse variational inference scheme for GPs proposed by Titsias back in 2009; for a given model with a prior p(W) perform variational inference on an extended model with a hierarchical prior p(U) p(W | U), that has the same marginal p(W) = \int p(U)p(W | U)dU as the original model. The authors then consider “U” to be auxiliary weights that are jointly Gaussian with the actual weights “W” and then use the decomposition p(W|U)p(U), q(W|U)q(U) for the prior and approximate posterior (which can easily be computed via the conditional Gaussian rules). Furthermore, they “tie” (almost) all of the parameters between q(W|U) and p(W|U) (similarly to Titsias, 2009). The main benefit from these two things is that since the mean and covariance of the Gaussian distribution over W conditioned on U can be efficiently represented as functions of U, whenever dim(U) << dim(W) we get reductions in memory for storing the distributions over the parameters in the network. The authors furthermore, discuss how to efficiently parametrize the joint distribution over W, U, discuss different choices for q(U) (that can lead to either traditional VI or something like deep ensembles). In addition, they also discuss how more efficient sampling from q(W|U) can be realised via an extension of the Matheron’s rule to the case of matrix random variables. Finally, they evaluate their method against traditional mean field variational Bayesian neural networks and deep ensembles on several tasks that include regression, classification, calibration and OOD performance. ","This paper proposes a layer-wise variational inference scheme for Bayesian neural networks that uses ""inducing weights"" for each layer before up-sampling to the full (layer-wise) weight distribution. The scheme is equivalent to a hierarchical prior formulation with an analogous hierarchical variational posterior. Experiments are performed on the standard BDL benchmarks of synthetic one dimensional regression, ResNets on CIFAR-100, and out of distribution detection.","The paper proposes a parameter-efficient method for uncertanity quantification in deep neural network using per layer inducing weights. The paper develops a network weight sampling scheme based on inducing weights. The proposed method employs Matheron's rule for efficient sampling. The method requires fewer parameters than even deterministic networks, while keeping good calibration and performance, at the cost of longer compute times, when few MC weight samples are used. ",The paper proposes to represent uncertainty in neural networks by augmenting neural network layers with inducing weights and then assuming that the resulting vector of weights is drawn from a matrix normal distribution which is structured so that it has fewer parameters than the original network. The parameters of the distribution are learned via variational inference and the authors present a procedure to sample efficiently from this distribution for optimizing the model parameters and for inference at test time. Experiments on classification and out of distribution detection are presented to validate the approach.,"This paper proposes a method for reducing the storage cost of BNNs. The idea is to apply the inducing point method and fast Matheron's sampling rule, commonly used in GPs, to standard variational BNNs. Experiments show that the resulting BNNs stay competitive to standard BNNs while enjoying up to 75% reduction in parameter size.",0.07407407407407407,0.0707070707070707,0.09764309764309764,0.06060606060606061,0.208955223880597,0.2537313432835821,0.19402985074626866,0.2714285714285714,0.18571428571428572,0.11827956989247312,0.3283582089552239,0.3,0.3118279569892473,0.32727272727272727,0.2,0.1827956989247312,0.23636363636363636,0.20430107526881722,0.23636363636363636,0.2,0.12087912087912088,0.11444141689373295,0.14871794871794872,0.10227272727272728,0.20437956204379562,0.21250000000000002,0.2131147540983607,0.23312883435582823,0.20800000000000002,0.14864864864864866
1,SP:173177f78449ef09647670389b0ffba1e35db0ba,"This paper studies the question of whether episodes (using a split of support & query sets) are necessary for non-parameteric approaches for few-shot learning (examples include Prototypical Networks & Matching Networks). The authors propose a Neighborhood Component Analysis-based method for few-shot learning, where a mini-batch consists of examples from a subset of base classes, with no support or query split. The NCA loss then involves distances computed across all examples in the mini-batch rather than only using distances computed between support and query examples (as is done in Prototypical Networks & Matching Networks). The authors show that their proposed method is able to achieve better performance for 1-shot & 5-shot classification in miniImageNet, cifar-fs, and tieredImageNet benchmarks. They also speculate that the proposed method performs better because of its use of more distance computations in the loss compared to Prototypical Networks & Matching Networks and confirm this by conducting an experiments where they randomly drop distances in their NCA loss and showing this has a negative impact on performance.",This paper conducts a case study for the non-parametric few-shot classification methods (e.g. Prototypical Networks).  It proposes to utilize the classic Neighbourhood Component Analysis (NCA) sampling instead of the original matching or prototypical style episode sampling.  The authors conducted ablation experiments to investigate the properties of this new sampling and compare it with the basic Prototypical Networks (PNs) method.  The final accuracy is comparable with the recent methods on three benchmark datasets. ,"This paper studies the role of the popular episodic training paradigm, in the context of two metric learning-based episodic models: Prototypical Networks (PN) and Matching Networks (MN). They show that these popular methods underperform compared to the closely-related NCA model which is non-episodic, i.e. does not separate the examples sampled in each training batch into disjoint support and query sets. They argue that the superior performance of NCA is because, due to not performing that separation, the total number of pairwise comparisons that are used in the loss computation is larger than those used for PN/MN, making the gradients more informative. Indeed, in episodic models, each query example is only compared to support examples, but not to other query examples, resulting in significantly fewer comparisons. Experimentally, they show that for a fixed batch size (where the ‘batch size’ in the case of the episodes is given by the combined size of the support and query sets), NCA outperforms PN and MN, despite its simplicity in terms of its smaller number of hyperparameters. They also show that randomly discarding comparisons from NCA leads to similar performance to the analogous PN/MN models and perform a set of ablations to “bridge” the gap between PN and NCA, further strengthening their finding that support/query separation hurts performance. ","This paper presents a new perspective on the episodic learning of nonparametric few-shot learning methods. The main claim is that current popular nonparametric methods, such as Prototypical Networks (PNs) and Matching Networks (MNs), are not data-efficient because less gradient signal is propagated during training due to the artificial division of the data points to support and query sets. The authors instead propose to use the standard learning protocol with batches and an equivalent loss function based on the Neighbourhood Component Analysis (NCA). This loss function exploits all connections between data points in the batch. The authors then propose three techniques to perform a few-shot classification during evaluation based on k-NN, nearest centroid, and soft assignment. Through extensive experiments, the authors justify their perspective and show comparable results to other recent FSL methods (not necessarily nonparametric ones). ","The paper's starting point is the question whether the episodic training is beneficial, or not, for FSL / Prototypical Networks. The work can be seen as a follow-up of the recent works showing that simple baselines can outperform rather sophisticated few-shot learning models. Towards answering this question, this paper points out that Prototypical Networks (PN) are related to Neighborhood Component Analysis (NCA), and NCA can be considered as an episodic training-free alternative of PN.",0.13872832369942195,0.23121387283236994,0.18497109826589594,0.10404624277456648,0.22666666666666666,0.32,0.16,0.14545454545454545,0.08636363636363636,0.11428571428571428,0.32,0.18181818181818182,0.22857142857142856,0.23376623376623376,0.07727272727272727,0.17142857142857143,0.15584415584415584,0.22857142857142856,0.24675324675324675,0.2077922077922078,0.1935483870967742,0.20356234096692113,0.20447284345047922,0.144,0.11525423728813558,0.2232558139534884,0.15789473684210528,0.17777777777777778,0.12794612794612795,0.14746543778801846
2,SP:45d0d17b384044473db2e2e164c56558044d2542,"The paper is concerned with closing the gap between the amount of training in deep networks and in developing brains, as the current deep learning models use an unrealistically large number of synaptic updates. The authors address that with three strategies: less training, weight clustering and training in a subset of layers. All methods are tested individually and in combination with each other on primate ventral stream data.  ","## Updated the score  This paper proposes to address an important research question for connecting biological (BNN) and artificial neural networks (ANN). Although after training, ANN replicates various salient features of BNN, the way they are often trained is biologically implausible and thus, it is hard to argue that ANNs are suitable for modeling BNNs convincingly. In particular, this work focuses on the already existing CORnet who has shown a high Brain-score. The idea of the authors is to show that they can largely reduce the number of updates when using their methods while still retaining a high Brain-score, thus proposing a potential training mechanism for BNNs.",The paper is about ANN being best-known models of developed primate visual systems. However this fact does not yet mean that the way those systems are trained is also similar. This distinction and a step towards answering this question is the main motivation of this work. The authors demonstrate a set of ideas that while drastically reducing the number of updates maintain high Brain Predictability according to the BrainScore. The significance of this result in my opinion largely depends on how well we can map those observations and methods to biological meaning and knowledge on how primate brains are trained (see the discussion point below).,"This paper presents an empirical study that elucidates potential mechanisms through which models of adult-like visual streams can ""develop"" from less specific/coarser model instantiations. In particular, the authors consider existing ventral stream models whose internal representations and behavior are most brain-like (amongst several other models) and probe how these fair in impoverished regimes of available labeled data and model plasticity (number of ""trainable"" synapses). They introduce a novel weight initialization mechanism, Weight Compression (WC), that allows their models to retain good performance even at the beginning of training, before any synaptic update. They also explore a particular methodology for fine-tuning, Critical Training (CT), that selectively updates parameters that seem to yield the most benefit. Finally, they explore these methods/algorithms' transfer performance from one ventral stream model (CORnet-S) to two additional models (ResNet-50 and MobileNet).","The paper addresses the question of how many weight updates are needed to train a deep network before it takes on biologically realistic representations. The paper uses CORnet-S (a network that has been proposed to resemble primate ventral stream), and BrainScore (a benchmark of how closely related deep network responses are to visual responses in primate ventral stream). Three ways of reducing the numbers of weight updates are explored, each of which is found to vastly reduce updates while moderately reducing BrainScore. First, the network is simply trained for fewer epochs. Second, weights are initialized with clusters of weights found after training. Third, only a subset of layers is updated. A combination of methods leads to 80% of full brain predictivity with 0.5% of the standard number of weight updates. ",0.17647058823529413,0.23529411764705882,0.19117647058823528,0.27941176470588236,0.21296296296296297,0.1388888888888889,0.18518518518518517,0.16981132075471697,0.1792452830188679,0.1276595744680851,0.1111111111111111,0.1509433962264151,0.09219858156028368,0.14393939393939395,0.2169811320754717,0.10638297872340426,0.15151515151515152,0.1276595744680851,0.14393939393939395,0.13636363636363635,0.13636363636363638,0.1839080459770115,0.12440191387559807,0.19000000000000003,0.2149532710280374,0.12048192771084339,0.16666666666666666,0.145748987854251,0.15966386554621848,0.13186813186813187
3,SP:71bc23f11137956757268354ed02ac3799373323,The paper suggests a new approach to the construction of ensembles of deep neural networks (DNN). Unlike previous methods which usually deal with multiple DNNs of same structure authors propose to form an ensemble of networks with different architecture. The main claim is that using diverse architectures increases diversity and hence the quality of predictions. To find the best architectures they use methodology inspired by neural architecture search (NAS) in particular random search and regularized evolution. The method for neural ensemble search (NES) is algorithmically simple although computationally hard. On several experiments the authors show NES outperforms standard deep ensembles formed from networks with same (even optimal) structure both in terms of test NLL and in terms of uncertainty estimation under domain shift.,"This paper proposes neural network ensembles with varying architectures, arguing these will be produce better uncertainty estimates, and considers various straightforward techniques to aggregate (ie. ensemble) the predictions from a pool of independently trained heterogeneous neural network architectures. The aggregation algorithm in this work is simply Ensemble Selection from Caruana et al., and random search / evolution methods are considered for automatically constructing the neural architectures in the base learner pool, rather than requiring these are predefined. ","This paper proposes a novel approach for searching ensembles of neural networks to improve the quality of uncertainty estimation and  performance improvement under the dataset shift. The main idea of the paper is to construct a pool of architectures, from which a new ensemble member is selected using a forward greedy algorithm. The paper is empirical, and all claims are strongly supported by thorough experiments. ",The paper explores whether one can use Architecture Search to enhance ensemble diversity. They start with the observation that embeddings generated by different architectures (for multiple different initialization per architecture) are well separated from each other. They then try out a couple of architecture search methods to find ensembles with diverse architectures that minimize the loss.,"This paper introduces ‘Neural Ensemble Search’, a method for (automatically) constructing ensembles of NNs which (in contrast with most iterations of deep ensembles) generally do not have the same architecture. The authors show that their method consistently outperforms baseline ensemble methods in accuracy and uncertainty calibration. They hypothesize that the success of this method is mainly due to the varied architectures leading to increased diversity of the predictive distributions of ensemble members, and they provide evidence supporting this claim.",0.12195121951219512,0.14634146341463414,0.10569105691056911,0.16260162601626016,0.19736842105263158,0.14473684210526316,0.17105263157894737,0.1076923076923077,0.23076923076923078,0.17857142857142858,0.19736842105263158,0.27692307692307694,0.23214285714285715,0.25316455696202533,0.23076923076923078,0.19642857142857142,0.16455696202531644,0.125,0.189873417721519,0.12658227848101267,0.1507537688442211,0.19148936170212763,0.1452513966480447,0.19801980198019803,0.21276595744680854,0.16666666666666669,0.16774193548387098,0.11570247933884298,0.20833333333333334,0.14814814814814814
4,SP:94f20c8d3fe45e4943690240a38f325fb377bf3a,The paper brings very little novelty or insight. It is unclear that the introduced architecture complexity worth marginal improvements (given high variance and only 5 random seeds) on 2 out of 11 tasks (5 from the main paper and 6 from appendix). This might be a good workshop paper but it clearly does not meet the high acceptance threshold of ICLR.,"This work presents a simple technique (Flare) to incorporate explicit temporal information to enable effective RL policy learning in challenging continuous control environments using pixel-based state representations. The approach is inspired from recent advances in the video recognition approaches which employ optical flow information and late fusion to incorporate temporal information. Typically, RL algorithms employ a frame-stacking heuristic to incorporate temporal information (early fusion). Though computing optical flow is slow and can been prohibitive for real-time applications, the authors present a simple alternative to using optical flow, i.e. difference of latent state vectors as a proxy for explicitly encoding motion information with latent vectors representing the observed state (late fusion). Experimental results on challenging continuous control tasks in the DMControl Suite show that Flare can achieve up to 1.9x higher scores than a baseline algorithm (RAD) which uses the frame-stacking heuristic to incorporate temporal information.",The paper proposes a simple modiﬁcation to existing deep RL architectures when the input is a sequence of frames. It makes use of a specific encoding of the frames and a specific way of combining CNN and fusion of the information from the different frames. This architecture does not require any additional auxiliary tasks or supervision signals as compared to traditional RL losses. The results of the paper show that the developed approaches are significantly better than baselines.,"This paper proposes adding temporal information in the form of latent flow to deep RL agents. The idea is simple: temporal differences between latent embeddings of consecutive frames are computed; the differences are then concatenated to the embeddings for downstream processing by an RL controller. This idea is inspired by idea of late fusion in video processing and stands in contrast to the current approach of frame-stacking, which is more akin to early fusion. The authors have validated their approach on a series of DMC tasks as well as Atari games.","In this paper, the authors modify two state-of-the-art reinforcement learning algorithms (RAD-SAC and Rainbow-DQN) by changing the way information from multiple timesteps is aggregated. Instead of stacking frames at a pixel level, the authors propose to encode each frame individually and then pass the encodings and their pairwise differences to the actor/critic networks. It is shown that when learning policies from pixels this way of fusing information substantially outperforms the baseline variants in 3/5 environments from the DeepMind control suite and 5/8 environments from Atari2600. Furthermore, experiments with low-level observations on 5 DeepMind Control Suite tasks support the particular choice of information fusion over using recurrent networks or stacking states directly without including state differences. ",0.14754098360655737,0.21311475409836064,0.13114754098360656,0.19672131147540983,0.11920529801324503,0.1456953642384106,0.11920529801324503,0.20253164556962025,0.20253164556962025,0.20652173913043478,0.059602649006622516,0.16455696202531644,0.08695652173913043,0.0967741935483871,0.22784810126582278,0.2391304347826087,0.14516129032258066,0.17391304347826086,0.12903225806451613,0.1532258064516129,0.08490566037735849,0.1857142857142857,0.10457516339869281,0.1297297297297297,0.15652173913043477,0.1810699588477366,0.1309090909090909,0.18713450292397663,0.15763546798029557,0.17592592592592593
5,SP:98450ef54b363e5e68b19b7bc1327490d69825fa,"The paper presents a simple addition to the Balanced Accuracy approach - which the authors refer to as ‘importance’. However, there is nothing in the formulation of this concept which requires that this is an importance and could in fact be any form of weighting. The paper evaluates the new metric - but only agains the Balanced Accuracy metric (which seems quite restrictive).","This paper presents a weighted balanced accuracy to evaulate the performance of multi-class classification. Basically, the performance for a multi-class problem can be evaluated by decomposing the original multi-class problem into a number of binary ones based on one-against-rest manner, and then evaulating the performance scores for each of the binary ones using any well-known metric for binary classification, and then, aggregating the performance scores. The main aim of this paper is to present a weighting scheme when aggregating the scores.","The authors advocate for class-stratified weighted macro-averaging as an appropriate scalar-valued evaluation for classification under class-imbalance. In the absence of domain expert specified weights, they also propose a weighting function that emphasizes rare classes (referred to as rarity), and a multi-importance criteria based on a normalized product of weightings. Furthermore, they point out that these weightings can be used for training via existing methods in commonly used tools (e.g., class-based instance weighting, class-based loss scaling). Finally, they show performance under different weighting for three log message classification tasks, a sentiment classification task, and a URL classification task (e.g., malware, NSFW, phishing),  — demonstrating that different weighings lead to different orderings of evaluation results and that these weights can be effectively used in training.","In this paper, the authors have proposed a novel evaluation framework for imbalanced data classification. Specifically, the proposed evaluation metric is designed to improve the grading of multi-class classifiers in domains where class importance is not evenly distributed. Generally speaking, the problem authors paid attention to is really existed and is important in imbalanced classification problem. Moreover, the writing in this paper is very well and is very easy to follow. ","The paper presented a simple yet general-purpose class-sensitive evaluation framework for imbalanced data classification. Their framework is designed to improve the grading of multi-class classifiers in domains where class importance is not evenly distributed. They provided a modular and extensible formulation that can be easily customized to different important criteria and metrics. Experiments with three real-world use cases show the value of a metric based on our framework, Weighted Balanced Accuracy (WBA), over existing metrics – in not only evaluating the classifiers’ test results more sensitively to important criteria but also training them so.",0.22950819672131148,0.16393442622950818,0.21311475409836064,0.2459016393442623,0.1724137931034483,0.20689655172413793,0.1839080459770115,0.10687022900763359,0.1450381679389313,0.4444444444444444,0.16091954022988506,0.07633587786259542,0.18055555555555555,0.15463917525773196,0.11450381679389313,0.25,0.16494845360824742,0.19444444444444445,0.1958762886597938,0.32989690721649484,0.1891891891891892,0.10416666666666667,0.19548872180451127,0.189873417721519,0.13761467889908258,0.22641509433962265,0.1739130434782609,0.13793103448275862,0.16666666666666666,0.378698224852071
6,SP:b4f4d7fa65a97351a51241ef5aca4f8315c35c5b,"The paper proposes a new loss to improve test-time BN adaptation for domain adaptation. The proposed loss consists of two components: the diversity maximization loss and the confidence maximization loss. Specifically, they use a running estimate for the diversity loss based on KL divergence. They propose the hard and soft likelihood ratio for the confidence loss which has large gradients for high confidence predictions.   ","In the spirit of full disclosure: I have recently reviewed this paper, and several parts of my previous review are still applicable, thus I am copying in these parts when appropriate.  This paper presents a method for test time adaptation based on several techniques. These include a self-supervised adaptation objective based on log likelihood ratios, an additional regularizing objective to encourage diverse predictions, and an input transformation module that is also trained with the aforementioned objectives. Together, these techniques lead to better performance on ImageNet-C and ImageNet-R compared to Tent, a recent and similar test time adaptation method based on entropy minimization.","This paper presents a method for test time adaptation based on several techniques. These include a self-supervised adaptation objective based on log likelihood ratios, an additional regularizing objective to encourage diverse predictions, and an input transformation module that is also trained with the aforementioned objectives. Together, these techniques lead to better performance on ImageNet-C and ImageNet-R compared to Tent, a recent and similar test time adaptation method based on entropy minimization.","Fully test-time adaptation is a promising approach to handling data shift and making the DNNs more robust. This paper presents a new method for fully test-time adaptation. Specifically, they propose a non-saturating surrogate of entropy and combine it with the diversity regularizer. They empirically demonstrate the efficacy of the proposed method, comparing it against a recently proposed test-time adaptation method, Tent, using various backbone networks. ","Test-time adaptation by entropy minimization can help models adapt to dataset shifts like corruptions without altering training. This work extends tent, an entropy minimization method, by proposing alternative non-saturating losses, adding a diversity regularizer, and adapting the input data along with the model parameters. The input is adapted by applying a convolutional image transformation model between the input and classification model. These extensions do not need more optimization iterations or supervision than the baselines: the method adapts online and efficiently without auxiliary supervision. Experiments on the corruption benchmark ImageNet-C and the newer benchmark ImageNet-R report reduced generalization error. The improvements are there but marginal, and they are consistent across multiple baseline architectures (ResNet, DenseNet, MobileNet, etc.). However, the clean accuracy reduced, so the proposed method does not strictly dominate prior work.",0.18461538461538463,0.16923076923076924,0.23076923076923078,0.18461538461538463,0.7047619047619048,0.18095238095238095,0.1619047619047619,0.24324324324324326,0.22972972972972974,0.2318840579710145,0.11428571428571428,0.14864864864864866,0.21739130434782608,0.08888888888888889,1.0,0.2753623188405797,0.1259259259259259,0.2608695652173913,0.1259259259259259,0.11851851851851852,0.1411764705882353,0.15827338129496404,0.22388059701492535,0.11999999999999998,0.8268156424581006,0.21839080459770113,0.14166666666666666,0.2517482517482517,0.16267942583732056,0.15686274509803924
7,SP:c1bfd8893b1f9e54afbe95410eae68f08eed1f9d,"This paper proposes a new algorithm called TOM2C to solve the multi-agent reinforcement learning problem. To achieve goals in the MARL problem, communication between agents is important. However, it is often challenging due to scalability and communication costs. To solve this problem, the authors adopt the Theory of Mind to multi-agents. The agent infers the mental states and intentions of others upon partial observation. TOM2C has two kinds of agents: a planner that decides sub-goal and reaches a consensus, and a low-level executor that takes actions. The authors also provide a communication reduction method based on CTDE.","* The paper proposes a Target-oriented Multi-agent Communication and Cooperation mechanism (ToM2C) using the Theory of Mind.   * It uses an observation encoder, ToM net, message sender, and decision-maker. The ToM net is designed for estimating the observation and inferring the goals (intentions). The message sender uses a graph neural network using inferred state and intention to generate local graphs. Once the agent receives the messages, it decides its goals using the inferred goals of others and received messages using the actor-critic.   * The empirical results of the model on the multi-sensor multi-target covering scenario is presented and compared with 4 different baselines from state-of-the-art MARL methods - HiT-MAC, I2C, A2C  and Heuristic Search algorithm.  ","This paper proposes a multi-agent communication and cooperation framework, ToM2C, where agents need to decide who and when to communicate with, and how to allocate subtasks (specifically, subtasks are defined by physical locations that agents need to navigate to / cover). The key idea is to train the agents to infer others' observations and goals, which may in turn helps achieve more effective and efficient communication/cooperation. The method adopts ToMnet-like architecture for a ToM module, and uses GNNs to fuse information and inference from multiple channels. Compared to the previous GNN architectures for multi-agent policies, it proposes two new designs, inferred-goal filter and communication reduction, which are enabled by the goal inference. The evaluation was done in a 2D continuous environment simulating a target coverage task. Compared to recent approaches, HiT-MAC and I2C, the proposed method reaches a higher reward with slightly fewer messages in this single task.","The paper presents a new method for communication and cooperation in multi-agent settings. The method relies on modelling other agents' intentions and internal states using Theory of Mind based neural nets. The predictions from the ToM model are used to decide how to communicate and coordinate with other agents. The authors test the method on two common multi-agent cooperation tasks to achieve SOTA communication efficiency and reward performance. The authors also show the utility of modelling mental states and using communication through ablation studies. Finally, the model shows flexibility in generalization, with consistent performance across different settings.","This paper addresses the problem of reasoning about the mental states of other agents in multiagent reinforcement learning using Theory of Mind, focused on cooperative MAS domains such as multi-sensor target tracking.  A deep learning architecture is proposed that combines four networks to create a centralized solution: (1) one network that uses attention to encode observations for communication messages, (2) another than estimates the observations and goals of the agents in the environment (generalizing prior work to more than two cooperating agents), (3) a third that learns a graph determining who should communicate with whom, and when communication should happen, and (4) an actor-critic network for determining the policies of agents.  Experimental results varying the number of sensors and targets in the environment demonstrate the performance of the proposed solution against baselines.",0.19801980198019803,0.2376237623762376,0.2079207920792079,0.19801980198019803,0.256198347107438,0.2066115702479339,0.19834710743801653,0.1568627450980392,0.1437908496732026,0.2222222222222222,0.1652892561983471,0.1568627450980392,0.21212121212121213,0.14925373134328357,0.20261437908496732,0.25252525252525254,0.1791044776119403,0.24242424242424243,0.16417910447761194,0.16417910447761194,0.1801801801801802,0.18897637795275588,0.21,0.1702127659574468,0.22627737226277372,0.22727272727272727,0.18823529411764706,0.1904761904761905,0.15331010452961674,0.18884120171673818
8,SP:f88a0263fe87db598ed9d3b537430324ee29ddf2,This paper describes a novel methodology of volume coding for encoding and decoding sentences. The algorithm is based on arithmetic coding. The qualitative result reveals that the generations from AriEL to be more valid comparing to other models.     ,"The paper proposes to use an autoregressive language model's hidden state to index multidimensional arithmetic coding representations of vocabularies and sentences. This way the latent space's geometry is directly connected to the words chosen at the cost of sensible inductive bias between similar sentences. Evaluations of unconditional samples on toy data and small-scale real data are made. While interpolations are presented, the proposed model and the autoencoders it compares to are only ever evaluated for fluency and grammaticality, but not for semantic relatedness.","This paper introduces an entropic coding method that is able to compress a sentence into a latent space and perform text generation through a uniform sampling from the implicit latent space. Experiments are conducted on a toy dataset and a narrow domain text dataset to show the effectiveness of the proposed method w.r.t. AE, VAE, and Transformer models. ","This paper proposes AriEL, a sentence encoding method onto the compact space [0, 1]^d. It leverages essences of arithmetic coding and kd-tree to encode/decode sentences with a fixed region of the space. With the property of arithmetic coding, in theory, it can map sentences with any lengths into individual values, and any points on [0, 1]^d can map back into corresponding sentence. Although the method relies on neural network based LMs to assign sentences into corresponding regions, the generality of mapping between any sentences/points is kept while changing the LM's behavior. The idea is interesting.","This paper proposes a sentence embedding called AriEL. Specifically, based on arithmetic coding and k-d trees, AriEL maps sequences of discrete data into volumes in the latent space, and can then retrieve sequences by random sampling. AriEL is compared to other standard techniques such as Transformer and Variational Autoencoders. Results show that it can generate more diverse and valid sentences.",0.2631578947368421,0.23684210526315788,0.3157894736842105,0.3157894736842105,0.1511627906976744,0.18604651162790697,0.16279069767441862,0.23333333333333334,0.2,0.1485148514851485,0.11627906976744186,0.15,0.1188118811881188,0.19672131147540983,0.21666666666666667,0.15841584158415842,0.22950819672131148,0.13861386138613863,0.19672131147540983,0.2459016393442623,0.16129032258064516,0.1836734693877551,0.17266187050359713,0.24242424242424243,0.17808219178082194,0.1711229946524064,0.1904761904761905,0.1739130434782609,0.19834710743801653,0.1851851851851852
