,R1-F1,R2-F1,RL-F1,RLsum-F1
,1-2,1-2,1-2,1-2
paper_id,,,,
SP:0007ee9ce7dfaf12a7dff4aa2979403aed9397d7,0.3314285714285714,0.057803468208092484,0.18285714285714283,0.18285714285714283
SP:001a31f7a439ab22943dedb4fa4d46e3dd56e603,0.42487046632124353,0.12565445026178013,0.24870466321243523,0.24870466321243523
SP:001e57e71bafdb52d6511bdd6aa73b78d60248f2,0.34838709677419355,0.09090909090909091,0.2,0.2
SP:004f41dfc870c5a9b347d118d7e41d7c3db77b91,0.32679738562091504,0.10596026490066225,0.2352941176470588,0.2352941176470588
SP:00578dd55a640c10dbf22f647b736e49f6ee3c32,0.28,0.050505050505050504,0.14,0.14
SP:006c2334ad366e0c4558bcfccdd89f993fb8bba7,0.34090909090909094,0.05747126436781609,0.18181818181818182,0.18181818181818182
SP:00a3a2ca6324e5f2db45bbad11bf97491037c26c,0.31016042780748665,0.07567567567567568,0.17112299465240643,0.17112299465240643
SP:00af76b0f241598c5d3c11fc330d6426a1dcd473,0.43410852713178294,0.09448818897637795,0.27906976744186046,0.27906976744186046
SP:00b48a43a5037915e21ddb2f0941cdd26a69d44d,0.26900584795321636,0.04733727810650888,0.17543859649122806,0.17543859649122806
SP:00e138bcd2ec3bc1fd4566af8434acf78e6f16be,0.34196891191709844,0.02094240837696335,0.19689119170984457,0.19689119170984457
SP:00f68b4f5ceeddc2e6b93cfdf1a75599bffd2acb,0.3028169014084507,0.06382978723404255,0.1267605633802817,0.1267605633802817
SP:00fed729e27d8c9d2a3d96fdb7e54c3e5cc0a94d,0.28723404255319146,0.0,0.18085106382978722,0.18085106382978722
SP:0119dbfec5c29bceae3332c902780f1e8319504a,0.30645161290322576,0.0819672131147541,0.20967741935483872,0.20967741935483872
SP:012aea2b0a756ae1714eb20ac4fdb723a644ee8f,0.3277310924369748,0.10169491525423728,0.21008403361344538,0.21008403361344538
SP:0134f562a484fc11e69847eb132d866e55fad86f,0.430379746835443,0.15384615384615383,0.2278481012658228,0.2278481012658228
SP:0147099ac2866672f507e5e37383fa4f50addd0e,0.39,0.0707070707070707,0.2,0.2
SP:014ffcb32f734eb84c89fb83ed2b62098fde89f9,0.36893203883495146,0.09803921568627451,0.17475728155339804,0.17475728155339804
SP:0152425d154c3a8120602f5d9e2eaf4e3d664632,0.14446227929373998,0.054750402576489526,0.09630818619582664,0.09630818619582664
SP:01813ebeda8ca73bca2bb3f50a3afefd1a04643b,0.3793103448275862,0.08771929824561403,0.22413793103448273,0.22413793103448273
SP:01d9dfdff7250ca7703a05aa98105d0307f3d899,0.3021582733812949,0.043795620437956206,0.15827338129496402,0.15827338129496402
SP:0228dd243b9ca1b38e728d54f5d000858f959ea4,0.3129251700680272,0.02758620689655172,0.19047619047619047,0.19047619047619047
SP:023f656e324a7c753e79703a9e9ff7638990a11c,0.4202334630350195,0.08627450980392157,0.23346303501945528,0.23346303501945528
SP:0241b8a73225e20c6d486355f34f267d87ef1f44,0.24390243902439024,0.02459016393442623,0.1869918699186992,0.1869918699186992
SP:0249d3ffcb3333fe857d83bae77e709a2f997956,0.2122905027932961,0.0,0.13407821229050276,0.13407821229050276
SP:027dfebf9732ce68cb3985ef873b00d65e6e7205,0.2631578947368421,0.0425531914893617,0.15789473684210525,0.15789473684210525
