,R1-F1,R1-F1,R1-F1,R1-F1,R1-F1,R1-F1,R2-F1,R2-F1,R2-F1,R2-F1,R2-F1,R2-F1,RL-F1,RL-F1,RL-F1,RL-F1,RL-F1,RL-F1,RLsum-F1,RLsum-F1,RLsum-F1,RLsum-F1,RLsum-F1,RLsum-F1
,1-2,1-3,1-4,2-3,2-4,3-4,1-2,1-3,1-4,2-3,2-4,3-4,1-2,1-3,1-4,2-3,2-4,3-4,1-2,1-3,1-4,2-3,2-4,3-4
paper_id,,,,,,,,,,,,,,,,,,,,,,,,
SP:00130f3b3a6b3b71f9b487003a18b43517cacbbb,0.2794759825327511,0.18811881188118812,0.296,0.30769230769230765,0.302158273381295,0.21428571428571425,0.06140350877192983,0.04975124378109452,0.07228915662650602,0.06666666666666667,0.043478260869565216,0.01801801801801802,0.17030567685589518,0.11386138613861385,0.144,0.16483516483516483,0.12949640287769784,0.09821428571428573,0.17030567685589518,0.11386138613861385,0.144,0.16483516483516483,0.12949640287769784,0.09821428571428573
SP:00215e91570b72ae8202535812037e710e766253,0.328042328042328,0.36879432624113473,0.28915662650602414,0.2962962962962963,0.3101604278074866,0.28776978417266186,0.06417112299465241,0.05755395683453238,0.04878048780487805,0.075,0.06486486486486487,0.014598540145985401,0.19047619047619047,0.2127659574468085,0.15662650602409636,0.18518518518518517,0.160427807486631,0.18705035971223025,0.19047619047619047,0.2127659574468085,0.15662650602409636,0.18518518518518517,0.160427807486631,0.18705035971223025
SP:006a99a453b861691e5ea2c02012a2aef44d393e,0.37234042553191493,0.4293785310734463,0.32195121951219513,0.37714285714285717,0.3448275862068965,0.3541666666666667,0.0967741935483871,0.08,0.03940886699507389,0.09248554913294799,0.05970149253731343,0.09473684210526316,0.1914893617021277,0.1807909604519774,0.14634146341463414,0.22857142857142856,0.19704433497536947,0.18749999999999997,0.1914893617021277,0.1807909604519774,0.14634146341463414,0.22857142857142856,0.19704433497536947,0.18749999999999997
SP:006e9fb3f4bd9fce1b751e6491f93ca9a918b1d0,0.2012578616352201,0.25120772946859904,0.3436426116838488,0.2987012987012987,0.23529411764705882,0.3146853146853147,0.012738853503184714,0.02926829268292683,0.08304498269896193,0.07894736842105263,0.01694915254237288,0.07042253521126761,0.12578616352201255,0.15458937198067632,0.1718213058419244,0.2077922077922078,0.13445378151260504,0.13986013986013987,0.12578616352201255,0.15458937198067632,0.1718213058419244,0.2077922077922078,0.13445378151260504,0.13986013986013987
SP:008b937acb21afd5449982967b6daac37b4134ab,0.40425531914893614,0.5078369905956114,0.45255474452554745,0.43346007604562736,0.41284403669724773,0.44705882352941173,0.0642857142857143,0.17665615141955834,0.11029411764705882,0.12260536398467432,0.06481481481481483,0.11067193675889328,0.2198581560283688,0.3009404388714734,0.2554744525547445,0.24334600760456274,0.21100917431192662,0.26666666666666666,0.2198581560283688,0.3009404388714734,0.2554744525547445,0.24334600760456274,0.21100917431192662,0.26666666666666666
SP:012528acf4cee3e1b0a1a27a7fecb73bebb9e661,0.26582278481012656,0.3058823529411765,0.3926940639269407,0.23076923076923075,0.3006535947712418,0.2787878787878788,0.0641025641025641,0.059523809523809534,0.13824884792626727,0.0,0.05298013245033112,0.024539877300613498,0.13924050632911392,0.1764705882352941,0.2191780821917808,0.15384615384615385,0.18300653594771238,0.18181818181818185,0.13924050632911392,0.1764705882352941,0.2191780821917808,0.15384615384615385,0.18300653594771238,0.18181818181818185
SP:0156823b32dd1145169aa325fbb74ea7eb97c030,0.4326923076923077,0.4696356275303643,0.3408360128617363,0.36213991769547327,0.36482084690553745,0.36416184971098264,0.10679611650485438,0.1142857142857143,0.05177993527508091,0.07468879668049792,0.10491803278688525,0.09302325581395349,0.21153846153846154,0.20242914979757085,0.1672025723472669,0.18930041152263377,0.20195439739413681,0.19653179190751446,0.21153846153846154,0.20242914979757085,0.1672025723472669,0.18930041152263377,0.20195439739413681,0.19653179190751446
SP:019f47787a1734e4215fc3c90019676885bf24bc,0.37795275590551175,0.36756756756756753,0.3392857142857143,0.32323232323232326,0.33599999999999997,0.24043715846994537,0.09599999999999999,0.07650273224043715,0.01818181818181818,0.09183673469387756,0.06504065040650406,0.03314917127071823,0.1732283464566929,0.20540540540540542,0.19642857142857145,0.1919191919191919,0.192,0.14207650273224046,0.1732283464566929,0.20540540540540542,0.19642857142857145,0.1919191919191919,0.192,0.14207650273224046
